experiment;time;requests;results;correctness
cnone-ldp-idx;0;52;0;0
cnone-ldp-idx;1954;58;15;0.75
cnone-ldp-idx;463;57;3;0.15
cnone-ldp-idx;505;50;3;0.15
cnone-ldp-idx;971;37;4;0.2
cnone-ldp-idx;1697;52;20;1
cnone-ldp-idx;10490;58;33;1.1379310344827587
cnone-ldp-idx;783;57;1;0.034482758620689655
cnone-ldp-idx;562;50;1;0.034482758620689655
cnone-ldp-idx;1854;37;2;0.06896551724137931
cnone-ldp-idx;9776;52;27;0.9310344827586207
cnone-ldp-idx;16040;58;1;1
cnone-ldp-idx;1254;57;1;1
cnone-ldp-idx;591;50;1;1
cnone-ldp-idx;1914;37;1;1
cnone-ldp-idx;13034;52;1;1
cnone-ldp-idx;826;58;0;0
cnone-ldp-idx;765;57;10;1
cnone-ldp-idx;713;50;10;1
cnone-ldp-idx;2001;37;0;0
cnone-ldp-idx;1677;52;10;1
cmatch-ldp-idx;17934;58;6;0.75
cmatch-ldp-idx;1737;57;4;0.5
cmatch-ldp-idx;873;50;1;0.125
cmatch-ldp-idx;3108;37;14;1.75
cmatch-ldp-idx;8298;52;8;1
cmatch-ldp-idx;11820;58;66;0.673469387755102
cmatch-ldp-idx;1661;57;46;0.46938775510204084
cmatch-ldp-idx;1265;50;32;0.32653061224489793
cmatch-ldp-idx;4060;37;198;2.020408163265306
cmatch-ldp-idx;10799;52;98;1
cmatch-ldp-idx;6;184;71;0.5
cmatch-ldp-idx;7;185;67;0.47183098591549294
cmatch-ldp-idx;4;134;55;0.3873239436619718
cmatch-ldp-idx;15;243;203;1.4295774647887325
cmatch-ldp-idx;17;203;142;1
cmatch-ldp-idx;0;74;5;0.7142857142857143
cmatch-ldp-idx;0;61;3;0.42857142857142855
cmatch-ldp-idx;0;54;3;0.42857142857142855
cmatch-ldp-idx;0;42;3;0.42857142857142855
cmatch-ldp-idx;0;72;7;1
cmatch-ldp-idx;3584;58;15;0.75
cmatch-ldp-idx;536;57;3;0.15
cmatch-ldp-idx;482;50;3;0.15
cmatch-ldp-idx;979;37;4;0.2
cmatch-ldp-idx;2393;52;20;1
cmatch-ldp-idx;120049;0;0;0
cmatch-ldp-idx;4009;57;1;0.034482758620689655
